keys,en,es,fr,pt,pl,ru,ko,th,tr
BASIC_GAMEPLAY_6,"The game ends when a mine is revealed or every tile that does not contain a mine has been opened. If you're able to open every tile on the grid without revealing a mine, you win!
Note: Flagging tiles is optional. You do not need to flag every mine to win.","El juego termina cuando se descubra una mina o todas las casillas que no contengan una mina estén descubiertas. ¡Si logras despejar todo el tablero sin explotar ninguna mina, ganas!
Nota: marcar casillas es opcional. No hace falta marcar todas las minas para ganar.","Le jeu prends fine lorsqu'une mine est révélé ou lorsque toutes les cases sans mines sont ouvertes. Si vous ouvrez toutes les tuiles sur la grille sans révéler une seul mine, vous gagnez!
Note: Les drapeaux sont optionnels. Vous n'avez pas besoin de marquer toutes les mines pour gagner.","O jogo acaba quando uma mina é revelada ou se todos os quadradinhos sem minas foram revelados. Se você abrir todos os quadradinhos da grade sem revelar uma mina, você vence!
OBS: Marcar quadradinhos é opcional. Você não precisa marcar todas as minas para vencer.","Gra kończy się w momencie odsłonięcia miny lub odkrycia wszystkich pól, które nie zawierają miny. Jeśli możesz odkryć wszystkie pola na planszy bez odsłaniania miny, wygrywasz!
Uwaga: Stawianie flag jest opcjonalne. Oznaczenie wszystkich min nie jest wymagane do zwycięstwa.","Игра заканчивается, когда обнаружена мина или открыты все плитки, не содержащие мин. Если вам удалось открыть все плитки на игровом поле, не обнаружив мин, вы побеждаете!
Примечание: Отмечать плитки необязательно. Вам не обязательно отмечать каждую мину, чтобы выиграть.","지뢰가 있는 칸을 열거나 지뢰가 없는 모든 칸을 열면 게임이 종료됩니다. 만약 지뢰가 있는 칸을 열지 않고 모든 칸을 열게 되면, 당신이 승리합니다!
노트: 깃발을 꽂는 것은 당신의 선택입니다. 모든 지뢰에 깃발을 꽂지 않아도 이길 수 있습니다.","เกมจะจบเมื่อได้เปิดช่องทุกจุดที่ไม่มีระเบิดได้ทั้งหมด หากทำได้สำเร็จด้วยดี คุณก็ได้ชนะเกมแล้ว
หมายเหตุ: จะปักธงบนระเบิดหรือไม่ก็ได้ ไม่จำเป็นต้องปักทั้งหมดเพื่อให้ชนะได้นะ","Oyun ya bir mayın ya da mayınlı olmayan her karo açıldığında sona erer. Eğer ızgaradaki bütün karoları mayınları açmadan açmayı başarırsan, kazanırsın!
Not: Mayınları işaretlemek opsiyoneldir. Kazanmak için her mayını işaretlemen şart dğil."
BASIC_GAMEPLAY_7,"Click on the smiley face any time during the game to pause the game and open the pause menu. You can reset the current game or exit the current game from the pause menu. Click on the smiley face again to close the pause menu and unpause the game","Haz clic a la cara sonriente en cualquier momento del juego para pausarlo y abrir el menú de pausa, donde puedes reiniciar o salir de la partida actual. Haz clic en la cara sonriente otra vez para cerrar el menú de pausa y reanudar la partida.","Cliquez sur le bonhomme sourire pour mettre le jeu en pause et ouvrir le menu de pause. Cliquez le à nouveau pour femer le menu de pause et reprendre la partie.","Clique na carinha feliz a qualquer hora durante seu jogo para pausa-lo e abrir o menu de pause. Você pode reiniciar este jogo ou sair deste jogo pelo menu de pause. Clique na carinha feliz denovo para fechar o menu de pause e retomar ao jogo.","W dowolnym momencie gry możesz kliknąć na uśmiechniętej buzi, żeby zapauzować grę i otworzyć menu pauzy. Kliknij buzię ponownie by zamknąć menu i odpauzować grę.","Нажмите на смайлик в любой момент игры, чтобы поставить её на паузу и открыть меню паузы. Нажмите на смайлик ещё раз, чтобы закрыть меню паузы и снять игру с паузы.","언제든지 웃는 얼굴을 클릭해서 게임을 일시 중지하고 일시 중지 메뉴를 열 수 있습니다. 웃는 얼굴을 한 번 더 클릭해서 일시 중지 메뉴를 끄고 게임을 재개할 수 있습니다.","กดเจ้าหน้ายิ้มเมื่ออยากหยุดชั่วคราว เมื่อต้องการต่อ กดที่เจ้าหน้ายิ้มอีกครั้งหนึ่ง","Oyunu herhangi bir zaman duraklatmak için gülen surata tıkla. Duraklatma menüsünden şuanki oyunu sıfırlayabilir yada şuanki oyundan çıkabilirsin. Menüyü kapatıp oyuna devam etmek için tekrar gülen surata tıkla."
SPECIAL_RULES_0,"While the classic version of Minesweeper doesn't allow any mistakes, Minesweeper Plus allows you to reveal three mines before it's game over. This gauge shows you your remaining health. If the dial is in the red, that means you only have one more strike before you're out.","Si bien el Buscaminas clásico no perdona errores, Buscaminas Plus te permite explotar tres minas antes de perder. Este medidor muestra tu salud restante. Si el indicador está en rojo, sólo tienes una oportunidad más antes de perder.","Bien que la version classique du Démineur ne tolère aucune erreur, Minesweeper Plus vous permet de révéler trois mines avant l'échec. Cette jauge représente votre santé. Si le cadran est dans le rouge, il ne vous reste plus qu'une chance avant d'être éliminé.","Enquanto o clássico Campo Minado não permite erros, Campo Minado Plus deixa você revelar três minas antes de perder. Esse medidor mostra suas vidas restante. Se estiver apontado no vermelho, significa que você tem só tem mais uma chance antes de perder","Podczas gry klasyczna wersja Sapera nie pozwala na popełnianie żadnych błędów, Minesweeper Plus pozwala na odsłonięcie trzech min przed przegraną. Ten wskaźnik pokazuje pozostałe zdrowie. Jeśli jest na czerwonym, to jest to Twoja ostatnia szansa.","В то время как классическая версия «Сапёра» не допускает ошибок, «Сапёр Плюс» позволяет обнаружить три мины до окончания игры. Эта шкала показывает ваше оставшееся здоровье. Если шкала красная, это означает, что у вас остался только один удар, прежде чем вы вылетите.","기존 지뢰찾기는 어떤 실수든 용납하지 않지만, 지뢰찾기 플러스는 게임 오버가 되기 전에 지뢰를 열 수 있는 3번의 기회를 제공합니다. 이 게이지는 남은 체력을 보여줍니다. 만약 눈금이 빨간색에 있다면, 당신이 패배하기 전에 마지막 한 번의 기회가 있다는 뜻입니다.","ระหว่างที่แบบทั่วไปของไมน์สวีปเปอร์ผิดพลาดเพียงได้แค่ครั้งเดียว ในเกมนี้สามารถพลาดได้ถึงสามครั้ง เครื่องวัดนี้บ่งบอกถึงกำลังชีวิตที่เหลืออยู่ หากชี้ไปที่ช่องสีแดง หมายความว่าคุณจะพลาดไม่ได้อีกแล้วนะ","Mayın Tarlası'nın klasik hali hatalara yer vermezken, Mayın Tarlası Plus oyun bitmeden sana 3 mayın açma hakkı tanır. Bu gösterge kalan canını gösterir. Eğer göstergenin kolu kırmızıdaysa, saf dışı kalmadan önce son bir hakkın kalmış demektir."
SPECIAL_RULES_1,"Winning a game of Minesweeper rewards you with Minecoins. The more challenging the level, the more Minecoins you will win upon completing the level.","Ganar una partida de Buscaminas te premia con Buscamonedas. Entre más difícil sea el nivel, más Buscamonedas ganarás al completarlo.","Ganger une partie de Démineur vous récompense avec des Minepièces. Plus le niveau est dur, plus vous obtenez de Minepièces en terminant le niveau.","Vencer uma partida de Campo Minado vai te recompensar com Mina-moedas. Quanto mais difícil o nível, mais Mina-moedas você ganha quando completar o nível","Zwycięska runda Sapera nagradza Minomonetami. Im trudniejszy poziom, tym więcej Minomonet zgarniesz za jego ukończenie.","Победа в игре «Сапер» вознаграждается минеркоинами. Чем сложнее уровень, тем больше минеркоинов вы получите после его завершения.","지뢰찾기 게임을 완수하면 지뢰코인을 받습니다. 레벨이 어려울수록, 그 레벨을 완수하면 더 많은 지뢰코인을 받을 수 있습니다.","การชนะในเกมนี้จะมีรางวัลเป็นเหรียญ หากเลเวลยากมากขึ้น รางวัลเหรียญก็จะเพิ่มขึ้นไปตามด่านนั้น ๆ","Bir el Mayın Tarlası kazanmak sana Minecoin kazandırır. Seviye ne kadar zorsa, seviyeyi kazandığında aldığın Minecoin o kadar fazla olur."
SPECIAL_RULES_2,"You can spend the Minecoins you collect to use the sonar. The sonar costs 50 Minecoins to use, and 50 more Minecoins for every time you use it during a level. Activate the sonar by toggling the OFF/ON switch. Click any tile while the sonar is active to see what it contains for 3 seconds. The sonar automatically deactivates after one use, or you can deactivate it without using it by toggling the OFF/ON switch again.","Puedes gastar las Buscamonedas que consigas para usar el sonar. Usar el sonar cuesta 50 monedas, y será 50 monedas más caro por cada vez que lo uses en un mismo nivel. Activa el sonar presionando el interruptor OFF/ON o clic 'Z'. Mientras está activado, haz clic en cualquier casilla para ver su contenido por 3 segundos. El sonar se desactiva automáticamente después de usarlo, o puedes desactivarlo sin usarlo presionando el interruptor OFF/ON una vez más.","Vous pouvez dépenser les Minepièces que vous obtenez sur le sonar. Le sonar coûte 50 Minepièces à utiliser, et 50 de plus à chaque utilisation pendant un niveau. Activez le sonar en cliquant l'interrupteur ON/OFF ou en appuyant sur la touche "Z". En mode sonar, cliquez sur une case pour voir ce qu'elle contient pendant 3 secondes sans pénalité. Le sonar se désactive automatiquement après utilisation. Vous pouvez aussi le désactiver sans l'utiliser en cliquant l'interrupteur ON/OFF de nouveau.","Você pode gastar Mina-moedas que você coletou pra usar o radar. O radar custa 50 Mina-moedas pra usar, e mais 50 Min-amoedas por vez que você usa em um nível. Ative o radar ativando o botão de OFF/ON, ou apertando 'Z'. Clicar em qualquer quadradinho com o radar ativando faz ele aparecer o que está dele por 3 segundos. O radar automaticamente se desativa depois de um uso, ou você pode desativá-lo sem usar apertado no botão de OFF/ON novamente.","Możesz wydawać zgromadzone Minomonety na użycie sonaru. Użycie sonaru kosztuje 50 Minomonet i 50 więcej za każde użycie podczas poziomu. Aktywuj sonar poprzez kilknięcie przełącznika lub wciśnięcie klawisza ,Z': Kliknij dowolne pole kiedy sonar jest aktywny, żeby przez 3 sekundy widzieć co ono zawiera. Sonar automatycznie się deaktywuje po użyciu, lub możesz go deaktywować bez użycia poprzez ponowne kliknięcie przełącznika.","Вы можете потратить собранные минеркоины на использование сонара. Использование сонара стоит 50 минеркоинов, и ещё 50 минеркоинов за каждое использование на уровне. Активируйте сонар, переключив переключатель «ВЫКЛ/ВКЛ» или нажав «Z». Щёлкните по любой плитке, пока сонар активен, чтобы увидеть его содержимое в течение 3 секунд. Сонар автоматически отключается после одного использования, или вы можете отключить его, не используя, повторно переключив переключатель «ВКЛ/ВЫКЛ».","당신이 받은 지뢰코인을 지뢰탐지기에 쓸 수 있습니다. 지뢰탐지기를 쓰려면  지뢰코인 50개가 필요하고, 레벨에서 지뢰탐지기를 사용할 때마다 50개의 지뢰코인이 추가로 더 필요해집니다. OFF/ON 스위치를 누르거나 "Z"를 눌러 지뢰탐지기를 켤 수 있습니다. 지뢰탐지기가 켜진 상태로 아무 칸을 클릭하면 3초 동안 그 칸 안에 뭐가 들어 있는지 볼 수 있습니다. 한 번 쓰면 지뢰탐지기는 자동으로 꺼집니다, 아니면 지뢰탐지기를 쓰지 않은 채로 다시 OFF/ON 스위치를 눌러 끌 수 있습니다.","เราสามารถใช้เหรียญในการใช้โซนาร์ได้ ซึ่งโซนาร์เริ่มด้วยราคา 50 เหรียญ และจะเพิ่มอีก 50 ไปเรื่อย ๆ ตามเลเวล จะเริ่มใช้โซนาร์ได้โดยการกดสลับปุ่ม OFF/ON หรือ ปุ่ม Z บนคีย์บอร์ด: กดตรงช่องไหนก็ได้ระหว่างที่เปิดโซนาร์เพื่อที่จะรู้สิ่งที่อยู่ใต้ช่องนั้น 3 วินาที มันจะหยุดทำงานอัตโนมัติหลังใช้แล้ว หรือคุณสามารถปิดโดยไม่ต้องใช้โดยการกดสลับปุ่ม OFF/ON อีกรอบหนึ่ง","Topladığın Minecoinleri sonarı kullanmak için harcayabilirsin. Sonarı kullanması 50 Minecoin tutar, bir seviye içerisinde her kullandığında 50 Minecoin artar. Sonarı ON/OFF düğmesine basarak veya 'Z'ye basarak aktif et: Sonar açıkken 3 saniyeliğine altında ne olduğunu görmek istediğin karoya tıkla. Sonar tek kullanımdan sonra otomatik olarak devre dışı kalır, yada onu kullanmadan tekrar Aç/Kapa düğmesine tıklayarak devre dışı bırakabilirsin."
SPECIAL_RULES_3,"If you would prefer to play the game with classic rules (zero mistakes, no sonar), you can toggle master mode on and off by clicking the face icon on the game select screen. You will also earn more Minecoins while playing on master mode.","Si prefieres jugar con las reglas clásicas (cero errores, sin sonar) puedes habilitar el Modo Maestro haciendo clic en el ícono de cara arriba a la izquierda en la pantalla de selección de modo de juego. También ganarás más Buscamonedas si juegas en Modo Maestro.","Si vous voulez jouer avec les règles classiques (sans erreur ni sonar), vous pouvez activer le mode maître en cliquant sur le bonhomme sourire au menu de sélection du jeu. Vous obtiendrais plus de Minepièces en jouant en mode maître.","Você pode preferir jogar o jogo com as regras clássicas (zero erros, sem radar) e pode ativar e desativar o modo mestre apertando no ícone de rosto na tela de seleção de jogo. Você também irá ganhar mais Mina-moedas jogando no modo mestre.","Jeśli wolisz grać na klasycznych zasadach (zero błędów, brak sonaru), możesz przełączać Tryb mistrzowski, klikając ikonę twarzy na ekranie wyboru gry. Granie w tym trybie zapewnia też więcej Minomonet.","Если вы предпочитаете играть по классическим правилам (без ошибок и сонара), вы можете включать и выключать режим мастера, нажимая на значок лица на экране выбора игры. Играя в режиме мастера, вы также заработаете больше минеркоинов.","만약 당신이 기존 지뢰찾기 규칙으로 (실수 없이, 지뢰탐지기 없이) 게임하는 것이 좋다면, 게임 선택 화면에서 얼굴 아이콘을 눌러서 마스터 모드를 켤 수 있습니다. 그리고 마스터 모드로 게임을 하면 지뢰코인을 더 받을 수 있습니다.","ถ้าคุณอยากเลือกเล่นเเบบกฏดั้งเดิม (โดยห้ามพลาดและไม่มีโซนาร์) สามารถกดสลับปุ่มเปิดปิดโหมดมาสเตอร์ได้โดยคลิกที่รูปหน้าในหมวดเลือกเกม คุณจะได้เหรียญเพื่มระหว่างเล่นโหมดนี้","Eğer klasik bir şekilde oynamak istersen (hatasız ve sonar olmadan), oyun seçme ekranında olan yüz ikonuna tıklayarak usta modunu açabilirsin. Aynı zamanda usta modunda oynarken daha çok Minecoin kazanırsın."
SPECIAL_RULES_4,"There are two modes of play. In 'Free Play', you can create a custom Minesweeper level and play as much as you want with no gameplay restrictions. Toggling the practice mode button in Free Play will allow you to play a Minesweeper practice stage. In practice mode, clicking on mines has no consequences and the sonar is free to use, but no Minecoins are gained upon clearing.","Hay dos modos de juego. En 'Juego Libre', puedes crear un nivel de Buscaminas personalizado y jugar cuanto quieras sin restricciones. Activar el Modo Práctica en Juego Libre te permitirá jugar una partida de Buscaminas de práctica. En el Modo Práctica, explotar minas no tiene consecuencias y usar el sonar es gratis, pero no ganas Buscamonedas al final.",fr,"Tem dois modos de jogo. No 'Jogo livre', você pode criar um nível de Campo Minado customizado e jogar o quanto você quiser sem restrições de jogo. Ativando o modo prática no Modo Livre vai deixar você jogar uma fase de prática de Campo Minado. No modo prática, clicando em uma mina não tem consequências e o radar e grátis de usar, mas nenhuma Mina-moedas são obtidas quando o nível acabar.","Istnieją dwa tryby gry. W ,Grze dowolnej' możesz tworzyć własne poziomy Sapera i grać ile chcesz bez ograniczeń. Kliknięcie przycisku trybu treningowego w Grze dowolnej pozwoli rozegrać etap treningowy Sapera. W trybie treningowym klikanie na miny nie ma konsekwencji, a używanie sonaru jest darmowe, ale ukończenie planszy nie zapewnia Minomonet.","Есть два режима игры. В режиме «Свободная игра» вы можете создать свой уровень сапёра и играть сколько угодно без каких-либо ограничений. Переключение режима практики в режиме свободной игры позволит вам пройти тренировочный этап сапёра. В режиме практики нажатие на мины не имеет последствий, а сонар можно использовать бесплатно, но за разминирование не начисляются минеркоины.","여기선 두 가지 모드를 플레이할 수 있습니다. '자유 플레이'에서는, 커스텀 지뢰찾기 레벨을 만들 수 있고 게임플레이에 제한이 없습니다. 자유 플레이 모드에서 연습 모드를 켜면 지뢰찾기 연습 레벨을 플레이할 수 있습니다. 연습 모드에서는, 지뢰를 클릭해도 대가를 받지 않고 지뢰탐지기는 무료이나, 클리어해도 지뢰코인은 받지 않습니다.","ในเกมจะมีสองโหมดหลัก ๆ ใน 'โหมดอิสระ' นี้คุณสามารถสร้างเลเวลให้ตัวเองเล่นได้ตามสมัครใจ เมื่อสลับปุ่มโหมดฝึกซ้อมจะสามารถซ้อมเลเวลของคุณได้ ในโหมดฝึกหัดนั้นเมื่อกดโดนระเบิดจะไม่ส่งผลเสียอะไรและจะใช้ได้โซนาร์ได้ตลอดเวลา แต่จะไม่มีรางวัลเหรียญให้เมื่อเสร็จสิ้นเกม","Oynanabilecek 2 oyun modu var. 'Serbest Oynanış' modunda kendi yaptığın bir Mayın Tarlası seviyesini oynanışta herhangi bir kısıtlama olmadan istediğin kadar oynayabilirsin. Serbest Oynanış'taki pratik modu butonuna basmak pratik yapabileceğin bir Mayın Tarlası bölümü açar. Pratik modunda mayınlara basmanın herhangi bir sonucu yoktur ve sonarı kullanmak ücretsizdir, ancak temizlendiğinde Minecoin kazanılmaz."
SPECIAL_RULES_5,"In 'Minesweeper Adventure', you must complete 8 Minesweeper levels in a row with limited resources. You start the adventure with 100 Minecoins. Health is not restored upon completing a level. If you fail, you can choose to continue your game if you have enough Minecoins to spend and start from the beginning of the level. If not, it's game over. The number of Minecoins you end with will be added to your total.","En 'Aventura Buscaminas', debes completar 8 niveles seguidos de Buscaminas con recursos limitados. Comienzas la aventura con 100 Buscamonedas. No recuperarás salud al completar un nivel. Si pierdes, puedes elegir continuar tu partida si tienes suficientes Buscamonedas y reintentar el nivel. Si no, se termina el juego. El número de Buscamonedas conseguido al final será añadido a tu monto total.",fr,"No ‘Modo Aventura' você tem que completar 8 fases de Campo Minado em seguida com recursos limitados. Você começa a aventura com 100 Mina-moedas. As vidas não são restauradas quando completar um nível. se você perder, você pode escolher em continuar o jogo se você tiver Mina-moedas suficientes pra gastar recomeçar aonde terminou. Se não, você começará do início. O número de Mina-moedas no final vai ser adicionado no seu total.","W 'Saperskiej Przygodzie' musisz ukończyć 8 poziomów Sapera pod rząd, dysponując ograniczonymi zasobami. Przygodę rozpoczynasz ze 100 Minomonetami. Zdrowie nie jest przywracane po ukończeniu poziomu. W razie porażki masz opcję kontynuowania gry, jeśli posiadasz dość Minomonet, i zacząć poziom od początku. W przeciwnym razie przegrywasz. Minomonety z którymi skończysz grę zostaną dodane do łącznej puli.","В «Приключении сапёра» вам необходимо пройти 8 уровней подряд с ограниченными ресурсами. Вы начинаете приключение со 100 минеркойнами. Здоровье не восстанавливается после завершения уровня. В случае неудачи вы можете продолжить игру, если у вас достаточно минеркойнов, и начать с начала уровня. В противном случае игра окончена. Количество минеркойнов, оставшихся у вас в конце, будет добавлено к общему количеству.","'지뢰찾기 모험'에서는, 8개의 지뢰찾기 레벨을 제한된 자원 속에서 연속적으로 완수해야 합니다. 100개 지뢰코인을 가지고 모험을 시작합니다. 체력은 레벨을 완수해도 회복되지 않습니다. 실패할 경우, 지뢰코인이 충분히 있으면 그 레벨을 처음부터 하고 게임을 계속할 수 있습니다. 없다면, 게임 오버입니다. 모험이 끝났을 때 있던 지뢰코인은 당신의 총합 지뢰코인에 추가됩니다.","'ใน 'โหมดผจญภัย' คุณต้องผ่านด่านทั้งหมด 8 เลเวลต่อเนื่องด้วยทรัพยากรจำกัด คุณจะเริ่มต้นด้วยเหรียญจำนวน 100 เหรียญ กำลังชีวิตจะเติมเต็มได้เมื่อสำเร็จด่านนั้น ๆ ถ้าคุณทำผิดพลาด จะมีตัวเลือกให้คุณดำเนินต่อ หากคุณมีเหรียญมากพอก็สามารถเริ่มจากจุดนั้น ถ้าไม่มีถือว่าจบเกมในทันที เลขของเหรียญทั้งหมดจะถูกรวบรวมไว้ได้ทั้งหมด","'Mayın Tarlası Macerası' modunda 8 Mayın Tarlası seviyesini tekte ve limitli kaynaklarla tamamlamalısın. Maceraya 100 Minecoin ile başlarsın. Bir bölümü bitirdiğinde canın yenilenmez. Eğer başaramazsan, yeterli miktarda Minecoin'in varsa oyuna devam etmeyi seçebilirsin ve bölümün başından başlarsın. Eğer yoksa, bu oyunun sonu demektir. Seviye sonunda sahip olduğun Minecoin miktarı toplamda olanına eklenir."
SPECIAL_RULES_6,"Saving and exiting from the adventure will create a quick save. Click on the 'CONTINUE' button on the game select screen to continue from where you left off. Starting a new adventure will overwrite any existing adventure data. At the end of the adventure, you will be ranked according to how well you performed.","Guardar y salir de la aventura creará un archivo de guardado rápido. Haz clic al botón 'CONTINUAR' en la pantalla de selección de modo de juego para seguir donde la dejaste. Empezar una nueva aventura sobreescribirá cualquier aventura previamente guardada. Al final de la aventura, serás calificado con un rango acorde a tu desempeño.",fr,"Salvando e saindo de uma aventura vai criar um salvamento rápido. Clique no botão de 'CONTINUAR' na seleção de jogo pra continuar de onde você parou. Criando uma nova aventura vai subistituir qualquer data de uma outra aventura existente. No final da aventura 1, você vai ser ranqueado de acordo com como você realizado.","Zapisanie i wyjście z przygody utworzy szybki zapis. Kliknij na przycisku ,KONTYNUUJ' na ekranie wyboru gry, aby kontynuować od momentu wyjścia. Rozpoczęcie nowej przygody nadpisze istniejące dane przygody. Pod koniec przygody dostaniesz ocenę zależną od Twoich dokonań.","Сохранение и выход из приключения создаст быстрое сохранение. Нажмите кнопку «ПРОДОЛЖИТЬ» на экране выбора игры, чтобы продолжить с того места, где вы остановились. Начало нового приключения перезапишет все существующие данные. В конце приключения вы получите оценку, соответствующую вашим успехам.","모험 중 저장하고 나가면 자동 세이브가 만들어집니다. 게임 선택 화면에서 '계속' 버튼을 눌러 모험에서 나간 지점부터 재개할 수 있습니다. 새로운 모험을 시작하면 그전에 있던 어느 모험 데이터를 덮어쓰게 됩니다. 모험 끝에는, 당신이 얼마나 잘 수행했는지에 따라 평가가 내려질 것입니다.","การบันทึกและออกจากการผจญภัยจะบันทึกอย่างรวดเร็ว คลิกบนปุ่ม 'ดำเนินการต่อ' บนหน้าเลือกเกมจะสามารถดำเนินการผจญภัยที่เหลือได้ ถ้าเริ่มใหม่ ข้อมูลใหม่ก็จะทับถมข้อมูลที่มีแล้ว เมื่อถึงจุดสิ้นสุดแล้ว จะจัดลำดับความเก่งของคุณในนั้น","Macera Modu'nu kaydedip çıktığında hızlı bir kayıt oluşturulur. Oyun seçim ekranında 'DEVAM ET' butonuna basıp kaldığın yerden devam edebilirsin. Yeni bir maceraya başlamak herhangi mevcut macera verilerinin üstüne yazılır. Maceranın sonunda, seviyelerdeki performansına göre derecelendirilirsin."
SPECIAL_RULES_7,"As of version 2, you now have the ability to zoom in on larger Minesweeper grids. Scroll the mouse wheel up to zoom in and scroll the mouse wheel down to zoom out. Hold down the middle mouse button while zoomed in to pan the camera around. You can also pan the camera using the arrow keys or WASD keys. You can also now play Episode 2 of Minesweeper Adventure. Episode 2 is more difficult than Episode 1, so the sonar cost has been slightly reduced, and you can acquire shields that will be used up in place of your health if you make a mistake.","Desde la versión 2, ahora puedes ver tableros grandes de Buscaminas más de cerca. Gira la rueda del ratón para acercarte y alejarte. Mantén pulsada la rueda del ratón para mover la cámara. También puedes mover la cámara con las flechas o WASD.\n\nAhora también puedes jugar el Episodio 2 de la Aventura Buscaminas. El Episodio 2 es más difícil que el Episodio 1, por lo que el precio del sonar ha sido ligeramente reducido y puedes conseguir escudos que se gastarán en lugar de tu salud si cometes un error.",fr,"Na versão 2, você terá a habilidade de dar um zoom em uma área grande de Campo Minado. Role a roda do mouse pra cima pra dar um zoom de perto e role a roda do mouse pra baixar pra dar um zoom de longe. Segure o botão do meio do mouse quando está ampliado para mover livremente a câmera. Você também pode mover a câmera usando as teclas de setas ou as teclas WASD.\\n\\nVocê agora pode jogar o Episódio 2 do Modo Aventura. O Episódio 2 é mais difícil que o Episódio 1, então o preço do radar será levemente reduzido, e agora você poderá obter escudos que vão ser usados invés da sua vida se você fizer um erro.","Od wersji 2 masz możliwość przybliżania większych plansz Sapera. Przewiń kółkiem myszy w dół, aby oddalić. Przytrzymaj środkowy przycisk myszy podczas przybliżenia, aby przesuwać kamerę. Możesz też przesuwać kamerę klawiszami strzałek lub WSADem.\\n\\nOd teraz możesz też rozgrywać Epizod 2. Saperskiej Przygody. Epizod 2. jest trudniejszy od pierwszego, więc cena sonaru została nieco obniżona i możesz zdobywać tarcze, które będą zużywane zamiast zdrowia w razie popełnienia błędu.","Начиная с версии 2, вы можете приближать большие сетки «Сапёра». Прокрутите колесо мыши вниз, чтобы уменьшить масштаб. Удерживайте среднюю кнопку мыши при увеличении масштаба, чтобы вращать камеру. Вы также можете вращать камеру с помощью клавиш со стрелками или клавиш WASD.","버전 2부터, 지뢰찾기 판을 확대할 수 있습니다. 마우스 휠을 아래로 굴려서 축소할 수 있습니다. 확대한 상태에서 중간 클릭을 길게 누르면 카메라 이동이 가능합니다. 화살표 키나 WASD 키로도 카메라 이동이 가능합니다.\\n\\n이제 지뢰찾기 모험의 에피소드 2를 플레이할 수 있습니다. 에피소드 2는 에피소드 1보다 더 어렵기 때문에, 지뢰탐지기의 가격이 조금 내려가고, 실수를 체력으로부터 한 번 방어할 수 있는 방패를 얻을 수 있습니다.","สำหรับเวอร์ชัน 2 นี้ คุณสามารถขยายบนตารางที่ใหญ่เป็นพิเศษ เมื่อเลื่อนตัวหมุนเมาส์ขึ้นลงจะสามารถปรับขนาดได้ ใข่เมาส์กลางเพื่อขยับตารางเมื่อซูมอยู่ หรือจะกดตรงลูกศรหรือปุ่ม WASD. ตอนนี้คุณสามารถเล่นตอนที่ 2 ได้แล้วในโหมดผจญภัย ซึ่งจะยากกว่าตอนที่ 1 แน่นอน โซนาร์จะมีราคาลดลงนิดหน่อย และสามารถใช้โล่เป็นการทับถมกำลังชีวิตของคุณเมื่อคุณพลาดขึ้นมาได้","Versiyon 2 ile birlikte, artık büyük Mayın Tarlası ızgaralarına yakınlaştırabilirsin. Uzaklaştırmak için Fare Tekerleğini aşağı kaydır. Yakınlaştırmışken etrafa bakmak için Fare Tekerleğine basılı tut. Etrafa bakmak için aynı zamanda ok tuşlarını veya WASD tuşlarını da kullanabilirsin.\\n\\nAyrıca Mayın Tarla'sının 2. Bölümünü de oynayabilirsin. 2. Bölüm 1. Bölüm'den daha zor, bu nedenle sonarın maliyeti biraz azaltıldı, ve hata yaparsan kullanılabilecek kalkanlar elde edebilirsin."
